Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
black-leather-bag,Black Leather Bag,"<p>Womens black leather bag, with ample space. Can be worn over the shoulder, or remove straps to carry in your hand.</p>",partners-demo,,"",women,true,Title,Default Title,,,,,"",0.0,shopify,20,deny,manual,30.00,,true,true,"",https://cdn.shopify.com/s/files/1/0592/0990/8360/products/black-bag-over-the-shoulder_925x_d4db7ef6-7c96-4911-b14b-330d4cfefe74.jpg?v=1660454872,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
blue-silk-tuxedo,Blue Silk Tuxedo,<p>Blue silk tuxedo with marbled aquatic pattern and dark lining. Sleeves are complete with rounded hem and black buttons.</p>,partners-demo,,"",men,true,Title,Default Title,,,,,"",0.0,shopify,1,deny,manual,70.00,,true,true,"",https://cdn.shopify.com/s/files/1/0592/0990/8360/products/man-adjusts-blue-tuxedo-bowtie_925x_7e0d2935-b4c2-48f2-9f09-4bde1fed5f8a.jpg?v=1660454882,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
chequered-red-shirt,Chequered Red Shirt,"<p>Classic mens plaid flannel shirt with long sleeves, in chequered style, with two chest pockets.</p>",partners-demo,,"",men,true,Title,Default Title,,,,,,0.0,,1,deny,manual,50.00,,true,true,,https://cdn.shopify.com/s/files/1/0592/0990/8360/products/red-plaid-shirt_925x_e073850c-54c3-42f3-a1d3-1830643316e6.jpg?v=1660454878,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
classic-leather-jacket,Classic Leather Jacket,"<p>Womans zipped leather jacket. Adjustable belt for a comfortable fit, complete with shoulder pads and front zip pocket.</p>",partners-demo,,"",women,true,Title,Default Title,,,,,,0.0,,1,deny,manual,80.00,,true,true,,https://cdn.shopify.com/s/files/1/0592/0990/8360/products/leather-jacket-and-tea_925x_7f117231-de94-4d22-88e4-c929a00deb51.jpg?v=1660454867,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
classic-varsity-top,Classic Varsity Top,"<p>Womens casual varsity top, This grey and black buttoned top is a sport-inspired piece complete with an embroidered letter.</p>",partners-demo,,"",women,true,Size,Small,,,,,,0.0,,1,deny,manual,60.00,,true,true,,https://cdn.shopify.com/s/files/1/0592/0990/8360/products/casual-fashion-woman_925x_b4dddc2f-776f-4631-83fd-1e34c1cf7494.jpg?v=1660454861,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
classic-varsity-top,,,,,,,,,Medium,,,,,,0.0,,1,deny,manual,60.00,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
classic-varsity-top,,,,,,,,,Large,,,,,,0.0,,1,deny,manual,60.00,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
dark-denim-top,Dark Denim Top,"<p>Classic dark denim top with chest pockets, long sleeves with buttoned cuffs, and a ripped hem effect.</p>",partners-demo,,"",women,true,Title,Default Title,,,,,,0.0,,1,deny,manual,60.00,,true,true,,https://cdn.shopify.com/s/files/1/0592/0990/8360/products/young-female-models-denim_925x_a31e50d4-5582-4180-ab83-eb593b624586.jpg?v=1660454868,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
floral-white-top,Floral White Top,<p>Stylish sleeveless white top with a floral pattern.</p>,partners-demo,,"",women,true,Title,Default Title,,,,,,0.0,,1,deny,manual,75.00,,true,true,,https://cdn.shopify.com/s/files/1/0592/0990/8360/products/city-woman-fashion_925x_2x_7aa935f5-a8ff-41af-98ff-8826de6b7b71.jpg?v=1660454864,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
led-high-tops,LED High Tops,"<p>Black high top shoes with green LED lights in the sole, tied up with laces and a buckle.</p>",partners-demo,,"",men,true,Title,Default Title,,,,,,0.0,,1,deny,manual,80.00,,true,true,,https://cdn.shopify.com/s/files/1/0592/0990/8360/products/putting-on-your-shoes_925x_a5804bcf-57e8-48ef-bf6d-8d5972b15a95.jpg?v=1660454887,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
